product_id,name,price_krw,rating,review_count,page,quantity,unit_price
90892125107,"나우그린 정품 프리미엄 비피더스 100, 30정, 3개",54000,5.0,5114.0,1,3,18000.0
95281669913,"락토핏 슈퍼슬림 30p, 60g, 1개",24120,5.0,375.0,1,1,24120.0
90892086477,"나우그린 정품 프리미엄 비피더스 100, 30정, 1개",19900,5.0,5114.0,1,1,19900.0
93350278653,"종근당 장건강 프로젝트365 비피더스 유산균 100억 10.5g, 30정, 2개",32900,5.0,1196.0,1,2,16450.0
95409859880,"리얼닥터 비피더스 생유산균 대장건강 배변활동 4종비피더스 면역건강 장건강 국제특허 유럽특허, 3개, 30정",27400,4.5,138.0,1,3,9133.333333333334
88537756325,"메디타민 대장건강 비피더스 프로바이오틱스 15g, 30정, 1개",26800,5.0,1029.0,1,1,26800.0
90892125101,"나우그린 정품 프리미엄 비피더스 100, 30정, 2개",36400,5.0,5114.0,1,2,18200.0
95818039987,"비피젠 퓨어 비피더스 프리미엄 프로바이오틱스 특허균 100억 보장, 30정, 1개",54000,4.5,1224.0,1,1,54000.0
3617842725,"에버그린 킹 프리미엄 프로바이오틱스, 60정, 1개",24050,4.5,3956.0,1,1,24050.0
90907739255,"비피젠 퓨어 비피더스 골드 프로바이오틱스 특허균 50억 보장, 1개, 30정",37050,4.5,1482.0,1,1,37050.0
84993541516,"BYO 코어 건강한 생유산균 500억, 2개, 60정",58100,5.0,9086.0,1,2,29050.0
94639447742,"푸름웰니스 비피오 트루 비피더스 100 프로바이오틱스 15g, 1개, 30정",25500,5.0,229.0,1,1,25500.0
90892125182,"나우그린 정품 프리미엄 비피더스 100, 30정, 4개",70400,5.0,5114.0,1,4,17600.0
95409859879,"리얼닥터 비피더스 생유산균 대장건강 배변활동 4종비피더스 면역건강 장건강 국제특허 유럽특허, 6개, 30정",48000,4.5,138.0,1,6,8000.0
94482000011,"바이오365 프리미엄 프로바이오틱스 비피더스 유산균 15g, 30정, 1개",11900,5.0,316.0,1,1,11900.0
95515074449,"와이즐리 100억 CFU 비피더스 유산균, 3개, 30정",59900,5.0,15.0,1,3,19966.666666666668
94096306837,"GNM 100억 비피더스 생유산균 프로바이오틱스, 60g, 2개",48800,5.0,83.0,1,2,24400.0
93339457111,"종근당 장건강 프로젝트365 비피더스 유산균 100억 10.5g, 30정, 1개",17670,5.0,1196.0,1,1,17670.0
86041491517,"비피젠 퓨어 비피더스 프리미엄 프로바이오틱스 특허균 100억 보장, 30정, 3개",159000,4.5,1224.0,1,3,53000.0
93350278890,"종근당 장건강 프로젝트365 비피더스 유산균 100억 10.5g, 30정, 4개",59900,5.0,1196.0,1,4,14975.0
94675778781,"뉴일리 간케어 100억 생유산균 간건강 장건강 프로바이오틱스 밀크씨슬, 1개, 60정",26290,5.0,250.0,1,1,26290.0
95721005197,"17종 혼합 유산균 프로바이오틱스 락토 바실러스 모유 유산균 bnr 17 종 핏 생 비피더스 낙산균 효능 유산균 100 % 골드 다이어트 가세리 억 홈쇼핑 구매 1위 식약청인증제품, 7박스, 30회분",69200,5.0,35.0,1,7,9885.714285714286
